Jugador,Temporada,Fecha,Equipo,Oponente,Goles,Asistencias,Día de la semana,Sede,Titular,Minutos,Penales marcados,Penales intentados,Tiros totales,Tiros a puerta,Tarjetas amarillas,Tarjetas rojas,Faltas cometidas,Faltas recibidas,Fuera de juego,Centros,Entradas ganadas,Intercepciones,Goles en propia,Penales ganados,Penales concedidos,Año,Mes,Equipo_Estandarizado,Equipo_Es_Colombiano,Equipo_Bucaramanga,Equipo_Independiente Santa Fe,Equipo_Junior,Equipo_Millonarios,Equipo_Once Caldas,Equipo_Pereira,Equipo_Rionegro,Oponente_Estandarizado,Oponente_Es_Colombiano,Oponente_Alianza FC,Oponente_Atlético Huila,Oponente_Atlético Nacional,Oponente_Boyacá Chicó,Oponente_Bucaramanga,Oponente_Cortuluá,Oponente_Deportes Tolima,Oponente_Deportivo Cali,Oponente_Deportivo Pasto,Oponente_Envigado,Oponente_Fortaleza CEIF,Oponente_Independiente Santa Fe,Oponente_Jaguares,Oponente_Junior,Oponente_La Equidad,Oponente_Llaneros,Oponente_Millonarios,Oponente_Once Caldas,Oponente_Pereira,Oponente_Rionegro,Oponente_Unión Magdalena,Sede_Local,Sede_Visitante,Sede_Neutral,Goles_por_90min,Eficiencia_Tiro,Precision_Tiro,Indice_Ofensivo,Indice_Disciplina,Indice_Participacion,Score_Global_Ataque,Tasa_Conversion_Penales,Ratio_Faltas
Carlos_Bacca,2022,2022-11-23,Junior,Santa Fe,2,0,Wed,HOME,Y,90,0,0,4,3,0,0,0,1,1,0,0,1,0,0,0,2022,11,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,2.0,50.0,75.0,0.6000000000000001,10,10.0,4.36,0.0,1.0
Carlos_Bacca,2022,2022-11-27,Junior,Millonarios,0,0,Sun,AWAY,Y,90,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2022,11,Junior,True,False,False,True,False,False,False,False,Millonarios,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,10.0,4.0,0.0,1.0
Carlos_Bacca,2022,2022-11-30,Junior,Pereira,0,0,Wed,HOME,Y,90,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2022,11,Junior,True,False,False,True,False,False,False,False,Pereira,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0.0,0.0,100.0,0.2,10,10.0,4.12,0.0,2.0
Carlos_Bacca,2023,2023-01-25,Junior,Rionegro,0,0,Wed,AWAY,Y,71,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,2023,1,Junior,True,False,False,True,False,False,False,False,Rionegro,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0,0.0,0.0,0.0,0.0,10,7.888888888888888,3.3666666666666663,0.0,0.0
Carlos_Bacca,2023,2023-01-29,Junior,Independiente,1,0,Sun,HOME,Y,90,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,2023,1,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,1.0,25.0,50.0,0.4,9,10.0,4.140000000000001,0.0,1.0
Carlos_Bacca,2023,2023-02-05,Junior,CA Bucaramanga,0,0,Sun,AWAY,Y,87,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2023,2,Junior,True,False,False,True,False,False,False,False,Bucaramanga,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,9.666666666666666,3.9,0.0,0.0
Carlos_Bacca,2023,2023-02-09,Junior,Unión Magdalena,0,0,Thu,HOME,Y,90,0,0,3,3,0,0,1,0,0,0,1,0,0,0,0,2023,2,Junior,True,False,False,True,False,False,False,False,Unión Magdalena,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0.0,0.0,100.0,0.6000000000000001,10,10.0,4.36,0.0,0.0
Carlos_Bacca,2023,2023-02-18,Junior,Pasto,0,0,Sat,AWAY,N,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,2,Junior,True,False,False,True,False,False,False,False,Deportivo Pasto,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,1.3333333333333333,1.4,0.0,0.0
Carlos_Bacca,2023,2023-02-25,Junior,La Equidad,0,0,Sat,HOME,Y,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2023,2,Junior,True,False,False,True,False,False,False,False,La Equidad,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0.0,0.0,0.0,0.0,10,6.666666666666666,3.0,0.0,0.0
Carlos_Bacca,2023,2023-03-09,Junior,Tolima,0,0,Thu,AWAY,Y,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,3,Junior,True,False,False,True,False,False,False,False,Deportes Tolima,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,6.777777777777779,3.0333333333333337,0.0,0.0
Carlos_Bacca,2023,2023-03-12,Junior,Envigado,0,0,Sun,HOME,N,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023,3,Junior,True,False,False,True,False,False,False,False,Envigado,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,0.0,0.0,10,3.4444444444444446,2.033333333333333,0.0,0.0
Carlos_Bacca,2023,2023-03-18,Junior,Santa Fe,0,0,Sat,HOME,N,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2023,3,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,0.0,0.0,10,3.0,1.9,0.0,0.0
Carlos_Bacca,2023,2023-03-23,Junior,CD América,0,0,Thu,AWAY,N,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,3,Junior,True,False,False,True,False,False,False,False,CD América,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,10,1.1111111111111112,1.3333333333333333,0.0,0.0
Carlos_Bacca,2023,2023-03-26,Junior,Unión Magdalena,0,0,Sun,AWAY,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,3,Junior,True,False,False,True,False,False,False,False,Unión Magdalena,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0,0.0,0.0,0.0,0.0,10,0.22222222222222224,1.0666666666666667,0.0,0.0
