Fecha_Numero,Fecha,Local,Visitante
18,2025-05-10,Independiente Santa Fe,Junior
18,2025-05-10,América de Cali,Boyacá Chicó
18,2025-05-10,Pereira,Deportivo Pasto
18,2025-05-10,Once Caldas,Millonarios
18,2025-05-10,Bucaramanga,Independiente Medellín
18,2025-05-10,Alianza FC,Deportivo Cali
19,2025-05-17,Llaneros,Deportes Tolima
19,2025-05-17,La Equidad,Bucaramanga
19,2025-05-17,Independiente Medellín,Pereira
19,2025-05-17,Deportivo Cali,Independiente Santa Fe
19,2025-05-17,Deportivo Pasto,Once Caldas
19,2025-05-17,Boyacá Chicó,Alianza FC
19,2025-05-17,Unión Magdalena,América de Cali
19,2025-05-17,Junior,Fortaleza CEIF
19,2025-05-17,Rionegro,Atlético Nacional
19,2025-05-17,Millonarios,Envigado
20,2025-05-24,Envigado,Llaneros
20,2025-05-24,Deportes Tolima,Rionegro
20,2025-05-24,Fortaleza CEIF,Unión Magdalena
20,2025-05-24,Atlético Nacional,Junior
20,2025-05-24,América de Cali,Independiente Medellín
20,2025-05-24,Once Caldas,Deportivo Cali
20,2025-05-24,Bucaramanga,Deportivo Pasto
20,2025-05-24,Alianza FC,Independiente Santa Fe
20,2025-05-24,Millonarios,Boyacá Chicó
